DNR Peat Inventory ID #,D_Sample #,D_Sampnum,D_Sampnsub,D_Top Depth (cm),D_Bottom Depth (cm),D_Bulk Density (g/cc),D_Moisture Content (%),D_PH H2O,D_PH CaCl2,D_Ash Content (%),D_Uniq_id,D_Depthnum
AITK-2205214-205,1757,1757,,185.0,200.0,0.11,88.1,4.2,3.6,6.4,232,4
AITK-2205214-205,1758,1758,,235.0,250.0,0.16,85.2,4.7,4.3,8.0,233,5
AITK-2205214-205,1759,1759,,285.0,300.0,0.23,79.2,5.2,4.7,18.0,234,6
AITK-2205214-205,1760,1760,,335.0,350.0,0.15,85.6,5.0,4.8,21.1,235,7
AITK-2205219-20,3175,3175,,35.0,50.0,0.11,88.9,5.3,4.3,6.3,236,1
AITK-2205219-20,3176,3176,,85.0,100.0,0.08,91.9,5.5,4.4,9.0,237,2
AITK-2205219-20,3177,3177,,130.0,145.0,0.15,86.0,5.6,4.6,11.6,238,3
AITK-2205223-202,1728,1728,,35.0,50.0,0.07,92.3,3.7,2.9,7.2,239,1
AITK-2205223-202,1729,1729,,85.0,100.0,0.08,92.3,3.9,3.2,4.8,240,2
AITK-2205223-202,1730,1730,,135.0,150.0,0.1,89.8,4.4,3.8,7.2,241,3
AITK-2205223-202,1731,1731,,185.0,200.0,0.1,89.5,5.0,4.2,8.8,242,4
AITK-2205223-202,1732,1732,,235.0,250.0,0.12,88.9,5.0,4.4,9.8,243,5
AITK-2205223-202,1733,1733,,285.0,300.0,0.13,87.3,5.2,4.5,10.8,244,6
AITK-2205223-202,1734,1734,,315.0,330.0,0.18,82.9,5.3,4.8,15.5,245,7
AITK-2205223-203,1736,1736,,35.0,50.0,0.05,94.3,3.3,2.4,6.8,246,1
AITK-2205223-203,1737,1737,,85.0,100.0,0.07,93.1,3.6,2.5,4.5,247,2
AITK-2205223-203,1738,1738,,135.0,150.0,0.08,91.3,3.6,2.7,4.7,248,3
AITK-2205223-203,1739,1739,,185.0,200.0,0.06,93.7,3.9,3.0,3.5,249,4
AITK-2205223-203,1740,1740,,235.0,250.0,0.08,91.5,4.5,3.7,6.4,250,5
AITK-2205223-203,1741,1741,,285.0,300.0,0.09,90.6,5.7,4.4,12.2,251,6
AITK-2205223-203,1742,1742,,335.0,350.0,0.13,87.5,5.7,4.7,9.7,252,7
AITK-2205223-203,1743,1743,,385.0,400.0,0.18,82.3,5.4,4.8,17.2,253,8
AITK-2205223-203,1744,1744,,435.0,450.0,0.19,82.7,5.6,4.9,22.9,254,9
AITK-2205223-210,1794,1794,,35.0,50.0,0.08,91.9,3.2,2.5,6.1,255,1
AITK-2205223-210,1795,1795,,85.0,100.0,0.07,91.2,3.6,3.0,4.7,256,2
AITK-2205223-210,1796,1796,,135.0,150.0,0.1,90.8,3.8,3.4,7.2,257,3
AITK-2205223-210,1797,1797,,185.0,200.0,0.09,91.6,4.2,3.8,12.8,258,4
AITK-2205223-211,1799,1799,,35.0,50.0,0.09,90.5,3.7,3.1,7.5,259,1
AITK-2205223-211,1800,1800,,85.0,100.0,0.11,89.8,4.5,4.0,6.5,260,2
AITK-2205223-211,1801,1801,,135.0,150.0,0.08,91.0,5.3,4.6,6.1,261,3
AITK-2205223-211,1802,1802,,185.0,200.0,0.09,90.8,5.4,4.7,7.6,262,4
AITK-2205223-211,1803,1803,,235.0,250.0,0.1,89.4,5.3,4.7,10.2,263,5
AITK-2205223-211,1804,1804,,285.0,300.0,0.12,88.2,5.5,4.9,9.6,264,6
AITK-2205223-211,1805,1805,,335.0,350.0,0.19,82.9,5.3,4.9,23.1,265,7
AITK-2205223-211,1806,1806,,385.0,400.0,0.14,86.2,5.6,5.0,10.0,266,8
AITK-2205223-211,1807,1807,,435.0,450.0,0.14,87.4,5.2,5.0,10.2,267,9
AITK-2205223-212,1810,1810,,35.0,50.0,0.08,92.2,4.1,2.8,6.9,268,1
AITK-2205223-212,1811,1811,,85.0,100.0,0.08,91.6,4.3,3.8,5.8,269,2
AITK-2205223-212,1812,1812,,135.0,150.0,0.1,90.4,5.2,4.8,7.8,270,3
AITK-2205223-212,1813,1813,,185.0,200.0,0.12,88.6,5.5,5.1,7.3,271,4
