DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CASS-2714432-174,,,,"H. Mooers on September 25, 1981",H. Mooers,"September 25, 1981",N,N
CASS-2714433-327,,0-60cm peat moisture wetter than normal,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714504-412,,,,"D. Riihiluoma and H. Mooers on June 7, 1982",D. Riihiluoma and H. Mooers,"June 7, 1982",N,N
CASS-2714514-343,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714515-345,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714515-346,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714521-342,,,,"H. Mooers on June 1, 1982",H. Mooers,"June 1, 1982",N,N
CASS-2714525-344,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714527-340,,,,"H. Mooers on June 1, 1982",H. Mooers,"June 1, 1982",N,N
CASS-2714528-341,,,,"H. Mooers on June 1, 1982",H. Mooers,"June 1, 1982",N,N
