DNR Peat Inventory ID #,Depthnum,Top Depth (cm),Bottom Depth (cm),Degree of Decomposition,Botanical Origin,Classification,Uniq_id
LOTW-3216118-852,4,70.0,83.0,H4,L1Dg2B3,Hemic,21023
LOTW-3216118-852,5,83.0,105.0,H3,L1B1C1Dg3,Fibric,21024
LOTW-3216118-852,6,105.0,,B,,Min.soil,21025
LOTW-3216223-735,1,0.0,168.0,H7/H6,,Sapric/Hemic,21026
LOTW-3216223-735,2,168.0,,B,,Min.soil,21027
LOTW-3216223-736,1,0.0,10.0,H5,,Hemic,21028
LOTW-3216223-736,2,10.0,,B,,sicl,21029
LOTW-3216223-738,1,0.0,145.0,H7,,Sapric,21030
LOTW-3216223-738,2,145.0,,B,,sl,21031
LOTW-3216223-739,1,0.0,45.0,,,Humus,21032
LOTW-3216223-739,2,45.0,,B,,s,21033
LOTW-3216224-737,1,0.0,70.0,H7/H6,,Sapric/Hemic,21034
LOTW-3216224-737,2,70.0,,B,,sil,21035
LOTW-3216226-731,1,0.0,70.0,H5,,Hemic,21036
LOTW-3216226-731,2,70.0,,B,,c,21037
LOTW-3216226-732,1,0.0,270.0,H5,,Hemic,21038
LOTW-3216226-732,2,270.0,,B,,c,21039
LOTW-3216226-733,1,0.0,270.0,H5,,Hemic,21040
LOTW-3216226-733,2,270.0,,B,,c,21041
LOTW-3216226-734,1,0.0,70.0,H5,,Hemic,21042
LOTW-3216226-734,2,70.0,,B,,c,21043
LOTW-3216231-596,1,0.0,15.0,H5,,Hemic,21044
LOTW-3216231-596,2,15.0,,B,,sil,21045
LOTW-3216231-597,1,0.0,15.0,H5,,Hemic,21046
LOTW-3216231-597,2,15.0,,B,,sil,21047
LOTW-3216231-598,1,0.0,15.0,H5,,Hemic,21048
LOTW-3216231-598,2,15.0,,B,,sil,21049
LOTW-3216232-570,1,0.0,92.0,H7,,Sapric,21050
LOTW-3216232-570,2,92.0,,B,,si,21051
LOTW-3216232-571,1,0.0,84.0,H7/H8,,Sapric,21052
LOTW-3216232-571,2,84.0,,B,,Min.soil,21053
LOTW-3216232-572,1,0.0,76.0,H7,,Sapric,21054
LOTW-3216232-572,2,76.0,,B,,cl,21055
LOTW-3216232-573,1,0.0,122.0,H7,,Sapric,21056
LOTW-3216232-573,2,122.0,,B,,Min.soil,21057
LOTW-3216232-574,1,0.0,127.0,H7/H6,,Sapric/Hemic,21058
LOTW-3216232-574,2,127.0,,B,,si,21059
LOTW-3216235-728,1,0.0,270.0,H5,,Hemic,21060
LOTW-3216235-728,2,270.0,,B,,scl,21061
LOTW-3216236-729,1,0.0,360.0,H7,,Sapric,21062
LOTW-3216236-729,2,360.0,,B,,c,21063
LOTW-3216236-730,1,0.0,210.0,H7,,Sapric,21064
LOTW-3216236-730,2,210.0,,B,,sic w/pebbles,21065
LOTW-3315701-423,1,0.0,40.0,H4,RS,Hemic,21066
LOTW-3315701-423,2,40.0,175.0,H4,RS/M,Hemic,21067
LOTW-3315701-423,3,175.0,210.0,H7,,Sapric,21068
LOTW-3315701-423,4,210.0,,B,,sl,21069
LOTW-3315703-772,1,0.0,150.0,H5,RS,Hemic,21070
LOTW-3315703-772,2,150.0,,B,,ms,21071
LOTW-3315706-456,1,0.0,,B,,Min.soil,21072
LOTW-3315708-407,1,0.0,30.0,H4,M,Hemic,21073
LOTW-3315708-407,2,30.0,120.0,H5,WF,Hemic,21074
LOTW-3315708-407,3,120.0,150.0,H5,RS/WF,Hemic,21075
LOTW-3315708-407,4,150.0,165.0,H6,RS/WF,Hemic,21076
LOTW-3315708-407,5,165.0,180.0,H8/H9,,Sapric,21077
LOTW-3315708-407,6,180.0,,B,,sic,21078
LOTW-3315710-426,1,0.0,40.0,H3,M,Fibric,21079
LOTW-3315710-426,2,40.0,60.0,H6,RS,Hemic,21080
LOTW-3315710-426,3,60.0,,B,,l,21081
LOTW-3315712-425,1,0.0,75.0,H2,M,Fibric,21082
LOTW-3315712-425,2,75.0,95.0,H3,M/RS,Fibric,21083
LOTW-3315712-425,3,95.0,210.0,H5,RS,Hemic,21084
LOTW-3315712-425,4,210.0,,B,,s,21085
LOTW-3315712-427,1,0.0,210.0,H3,M,Fibric,21086
LOTW-3315712-427,2,210.0,,B?,,Sampler would not penetrate,21087
LOTW-3315716-498,1,0.0,30.0,H2,M,Fibric,21088
LOTW-3315716-498,2,30.0,90.0,H4,M,Hemic,21089
LOTW-3315716-498,3,90.0,120.0,H4,M/RS,Hemic,21090
LOTW-3315716-498,4,120.0,150.0,H4,M/RS,Hemic,21091
LOTW-3315716-498,5,150.0,180.0,H4,RS,Hemic,21092
LOTW-3315716-498,6,180.0,225.0,H6,,Hemic,21093
LOTW-3315716-498,7,225.0,,B,,ls,21094
LOTW-3315716-499,1,0.0,120.0,H5,M,Hemic,21095
LOTW-3315716-499,2,120.0,150.0,H6,RS,Hemic,21096
LOTW-3315716-499,3,150.0,,B,,fs,21097
LOTW-3315716-500,1,0.0,30.0,H5,M,Hemic,21098
LOTW-3315716-500,2,30.0,60.0,H6,M,Hemic,21099
LOTW-3315716-500,3,60.0,120.0,H6,M/RS,Hemic,21100
LOTW-3315716-500,4,120.0,180.0,H6,RS,Hemic,21101
LOTW-3315716-500,5,180.0,,B,,fs,21102
LOTW-3315725-418,1,0.0,240.0,H4,RS,Hemic,21103
LOTW-3315725-418,2,240.0,,B,,fs,21104
LOTW-3315725-419,1,0.0,180.0,,,Peat,21105
LOTW-3315725-419,2,180.0,,B?,,Not recorded,21106
LOTW-3315725-428,1,0.0,30.0,H3,M,Fibric,21107
LOTW-3315725-428,2,30.0,225.0,H3,RS,Fibric,21108
LOTW-3315725-428,3,225.0,240.0,H6,RS,Hemic,21109
LOTW-3315725-428,4,240.0,,B,,l,21110
LOTW-3315904-462,1,0.0,135.0,H5,RS,Hemic,21111
LOTW-3315904-462,2,135.0,145.0,H6,RS,Hemic,21112
LOTW-3315904-462,3,145.0,170.0,H6,,Hemic,21113
LOTW-3315904-462,4,170.0,,B,,g,21114
LOTW-3315908-794,1,0.0,270.0,H4,RS,Hemic,21115
LOTW-3315908-794,2,270.0,,B,,Min.soil,21116
LOTW-3315911-461,1,0.0,60.0,H5,RS,Hemic,21117
LOTW-3315911-461,2,60.0,75.0,H5,WF,Hemic,21118
LOTW-3315911-461,3,75.0,,B,,s,21119
LOTW-3315913-800,1,0.0,150.0,H5,WF,"Hemic, forest peat",21120
LOTW-3315913-800,2,150.0,180.0,H7,,Sapric,21121
LOTW-3315913-800,3,180.0,,B,,g,21122
LOTW-3316001-541,1,0.0,75.0,,,Peat,21123
LOTW-3316001-541,2,75.0,,B,,ms-cos,21124
LOTW-3316007-548,1,0.0,37.0,H7,,Sapric,21125
LOTW-3316007-548,2,37.0,,B,,g,21126
LOTW-3316008-547,1,0.0,25.0,H6,,Hemic,21127
LOTW-3316008-547,2,25.0,,B,,cos,21128
LOTW-3316010-546,1,0.0,50.0,H8,,Sapric,21129
LOTW-3316010-546,2,50.0,,B,,ms-fs,21130
LOTW-3316012-542,1,0.0,,B,,Min.soil,21131
LOTW-3316032-463,1,0.0,150.0,H4,RS/M,Hemic,21132
LOTW-3316032-463,2,150.0,210.0,H5,RS,Hemic,21133
LOTW-3316032-463,3,210.0,225.0,H7,,Sapric,21134
LOTW-3316032-463,4,225.0,,B,,Min.soil,21135
LOTW-3316032-464,1,0.0,90.0,H5,RS,Hemic,21136
LOTW-3316032-464,2,90.0,210.0,H6,RS,Hemic,21137
LOTW-3316032-464,3,210.0,225.0,H8,RS,Sapric,21138
LOTW-3316032-464,4,225.0,,B,,ls w/ g,21139
LOTW-3316102-624,1,0.0,92.0,H5,,Hemic,21140
LOTW-3316102-624,2,92.0,,B,,cl,21141
LOTW-3316102-625,1,0.0,107.0,H5,,Hemic,21142
LOTW-3316102-625,2,107.0,,B,,cl,21143
LOTW-3316102-626,1,0.0,137.0,H5,,Hemic,21144
LOTW-3316102-626,2,137.0,,B,,cl,21145
LOTW-3316102-627,1,0.0,137.0,H5,,Hemic,21146
LOTW-3316102-627,2,137.0,,B,,cl,21147
LOTW-3316102-628,1,0.0,152.0,H5,,Hemic,21148
LOTW-3316102-628,2,152.0,,B,,cl,21149
LOTW-3316102-632,1,0.0,152.0,H5,,Hemic,21150
LOTW-3316102-632,2,152.0,,B,,cl,21151
LOTW-3316102-633,1,0.0,152.0,H5,,Hemic,21152
LOTW-3316102-633,2,152.0,,B,,cl,21153
LOTW-3316103-523,1,0.0,90.0,,,Peat,21154
LOTW-3316103-523,2,90.0,,B,,sic,21155
LOTW-3316103-668,1,0.0,51.0,H5,,Hemic,21156
LOTW-3316103-668,2,51.0,,B,,cl,21157
LOTW-3316103-669,1,0.0,61.0,H5,,Hemic,21158
LOTW-3316103-669,2,61.0,,B,,cl,21159
LOTW-3316111-629,1,0.0,107.0,H5,,Hemic,21160
LOTW-3316111-629,2,107.0,,B,,cl,21161
LOTW-3316111-630,1,0.0,132.0,H5,,Hemic,21162
LOTW-3316111-630,2,132.0,,B,,Min.soil,21163
LOTW-3316111-631,1,0.0,152.0,H5,,Hemic,21164
LOTW-3316111-631,2,152.0,,B,,Min.soil,21165
LOTW-3316112-850,1,0.0,100.0,H4,(C)L3Dg3,Hemic,21166
LOTW-3316112-850,2,100.0,110.0,H4/H5,C1L2Dg3,Hemic,21167
LOTW-3316112-850,3,110.0,,B,,sic,21168
LOTW-3316128-544,1,0.0,,B,,sil,21169
LOTW-3316128-545,1,0.0,75.0,H6,,Hemic,21170
LOTW-3316128-545,2,75.0,,B,,sil,21171
LOTW-3316203-727,1,0.0,90.0,H6,,Hemic,21172
LOTW-3316203-727,2,90.0,,B,,sil,21173
LOTW-3316204-725,1,0.0,30.0,H6,,Hemic,21174
LOTW-3316204-725,2,30.0,,B,,cl,21175
LOTW-3316204-726,1,0.0,5.0,H7,,Sapric,21176
LOTW-3316204-726,2,5.0,,B,,fs,21177
LOTW-3316206-722,1,0.0,5.0,H6,,Hemic,21178
LOTW-3316206-722,2,5.0,,B,,vfs-si,21179
LOTW-3316206-724,1,0.0,10.0,H7,,Sapric,21180
LOTW-3316206-724,2,10.0,,B,,fs,21181
LOTW-3316207-636,1,0.0,100.0,H6,,Hemic,21182
LOTW-3316207-636,2,100.0,,B,,cl,21183
LOTW-3316207-637,1,0.0,100.0,H6,,Hemic,21184
LOTW-3316207-637,2,100.0,,B,,cl,21185
LOTW-3316207-638,1,0.0,107.0,H6,,Hemic,21186
LOTW-3316207-638,2,107.0,,B,,cl,21187
LOTW-3316207-639,1,0.0,81.0,H6,,Hemic,21188
LOTW-3316207-639,2,81.0,,B,,vfs-si,21189
LOTW-3316219-660,1,0.0,63.0,H5,,Hemic,21190
LOTW-3316219-660,2,63.0,,B,,Min.soil,21191
LOTW-3316219-661,1,0.0,91.0,H5,,Hemic,21192
LOTW-3316219-661,2,91.0,,B,,sc,21193
LOTW-3316220-657,1,0.0,61.0,H7/H6,,Sapric/Hemic,21194
LOTW-3316220-657,2,61.0,,B,,scl w/pebbles,21195
LOTW-3316220-662,1,0.0,91.0,H5,,Hemic,21196
LOTW-3316220-662,2,91.0,,B,,sicl,21197
LOTW-3316220-663,1,0.0,86.0,H5,,Hemic,21198
LOTW-3316220-663,2,86.0,,B,,sicl,21199
LOTW-3316220-664,1,0.0,46.0,H5,,Hemic,21200
LOTW-3316220-664,2,46.0,,B,,si,21201
LOTW-3316220-665,1,0.0,46.0,H5,,Hemic,21202
LOTW-3316220-665,2,46.0,,B,,Min.soil,21203
LOTW-3316220-666,1,0.0,91.0,H5,,Hemic,21204
LOTW-3316220-666,2,91.0,,B,,c,21205
LOTW-3316220-667,1,0.0,81.0,H5,,Hemic,21206
LOTW-3316220-667,2,81.0,,B,,sic,21207
LOTW-3316225-592,1,0.0,162.0,H5,,Hemic,21208
LOTW-3316225-592,2,162.0,,B,,sil,21209
LOTW-3316225-593,1,0.0,137.0,H5,,Hemic,21210
LOTW-3316225-593,2,137.0,,B,,sil,21211
LOTW-3316225-594,1,0.0,114.0,H5,,Hemic,21212
LOTW-3316225-594,2,114.0,,B,,cl,21213
LOTW-3316225-595,1,0.0,86.0,H6,,Hemic,21214
LOTW-3316225-595,2,86.0,,B,,fs,21215
LOTW-3316226-589,1,0.0,107.0,H5,,Hemic,21216
LOTW-3316226-589,2,107.0,,B,,si,21217
LOTW-3316226-590,1,0.0,170.0,H5,,Hemic,21218
LOTW-3316226-590,2,170.0,,B,,l,21219
LOTW-3316226-591,1,0.0,162.0,H5,,Hemic,21220
LOTW-3316226-591,2,162.0,,B,,sil,21221
LOTW-3316226-599,1,0.0,102.0,H5,,Hemic,21222
LOTW-3316226-599,2,102.0,,B,,cl,21223
LOTW-3316226-600,1,0.0,137.0,H5,,Hemic,21224
LOTW-3316226-600,2,137.0,,B,,cl,21225
LOTW-3316226-601,1,0.0,183.0,H5,,Hemic,21226
LOTW-3316226-601,2,183.0,,B,,Min.soil,21227
LOTW-3316226-602,1,0.0,183.0,H5,,Hemic,21228
LOTW-3316226-602,2,183.0,,B,,Min.soil,21229
LOTW-3316230-654,1,0.0,,B,,cl,21230
LOTW-3316230-655,1,0.0,13.0,H5,,Hemic,21231
LOTW-3316230-655,2,13.0,,B,,sc,21232
LOTW-3316230-656,1,0.0,36.0,H5,,Hemic,21233
LOTW-3316230-656,2,36.0,,B,,cl,21234
LOTW-3316230-658,1,0.0,46.0,H5,,Hemic,21235
LOTW-3316230-658,2,46.0,,B,,c,21236
LOTW-3316230-659,1,0.0,53.0,H5,,Hemic,21237
LOTW-3316230-659,2,53.0,,B,,cl,21238
LOTW-3316236-603,1,0.0,183.0,H5,,Hemic,21239
LOTW-3316236-603,2,183.0,,B,,si,21240
LOTW-3316236-604,1,0.0,183.0,H5,,Hemic,21241
LOTW-3316236-604,2,183.0,,B,,si,21242
LOTW-3316236-605,1,0.0,178.0,H5,,Hemic,21243
LOTW-3316236-605,2,178.0,,B,,si & vfs,21244
LOTW-3316236-606,1,0.0,152.0,H5,,Hemic,21245
LOTW-3316236-606,2,152.0,,B,,si & vfs,21246
LOTW-3316331-723,1,0.0,10.0,H6,,Hemic,21247
LOTW-3316331-723,2,10.0,,B,,vfs,21248
LOTW-3415704-455,1,0.0,150.0,H4,RS,Hemic,21249
LOTW-3415704-455,2,150.0,225.0,H6,RS,Hemic,21250
LOTW-3415704-455,3,225.0,,B,,s,21251
LOTW-3415706-450,1,0.0,30.0,H4,RS,Hemic,21252
LOTW-3415706-450,2,30.0,165.0,H5,RS,Hemic,21253
LOTW-3415706-450,3,165.0,,B,,sl,21254
LOTW-3415709-846,1,0.0,125.0,H6,RS,Hemic,21255
LOTW-3415709-846,2,125.0,,B,,ms,21256
LOTW-3415709-847,1,0.0,64.0,H6,RS,Hemic,21257
LOTW-3415709-847,2,64.0,,B,,ms,21258
LOTW-3415709-848,1,0.0,130.0,H6,RS,Hemic,21259
LOTW-3415709-848,2,130.0,,B,,ms,21260
LOTW-3415710-404,1,0.0,75.0,H6,WF,Hemic,21261
LOTW-3415710-404,2,75.0,,B,,sl,21262
LOTW-3415713-406,1,0.0,60.0,H5,WF,Hemic,21263
LOTW-3415713-406,2,60.0,90.0,H5,WF,Hemic,21264
LOTW-3415713-406,3,90.0,120.0,H5,RS,Hemic,21265
LOTW-3415713-406,4,120.0,150.0,H5,RS/WF,Hemic,21266
LOTW-3415713-406,5,150.0,180.0,H5,WF/RS,Hemic,21267
LOTW-3415713-406,6,180.0,240.0,H6,WF,Hemic,21268
LOTW-3415713-406,7,240.0,270.0,H7,WF,Sapric,21269
LOTW-3415713-406,8,270.0,,B,,sic,21270
LOTW-3415714-405,1,0.0,60.0,H4,RS,Hemic,21271
LOTW-3415714-405,2,60.0,90.0,H5,RS,Hemic,21272
LOTW-3415714-405,3,90.0,140.0,H6,RS/WF,Hemic,21273
LOTW-3415714-405,4,140.0,150.0,H8,,Sapric w/s grains,21274
LOTW-3415714-405,5,150.0,,B,,sic,21275
LOTW-3415715-403,1,0.0,45.0,H7,WF,Sapric,21276
LOTW-3415715-403,2,45.0,,B,,ls,21277
LOTW-3415719-448,1,0.0,90.0,H5,RS,Hemic,21278
LOTW-3415719-448,2,90.0,105.0,H6,RS,Hemic,21279
LOTW-3415719-448,3,105.0,,B,,sicl,21280
LOTW-3415818-793,1,0.0,270.0,H5,RS,Hemic,21281
LOTW-3415818-793,2,270.0,,B,,vfsl,21282
LOTW-3415830-454,1,0.0,105.0,H5,RS,Hemic,21283
LOTW-3415830-454,2,105.0,,B,,s,21284
LOTW-3415918-508,1,0.0,45.0,H5,M,Hemic,21285
LOTW-3415918-508,2,45.0,180.0,H6,RS,Hemic,21286
LOTW-3415918-508,3,180.0,225.0,H7,RS,Sapric,21287
LOTW-3415918-508,4,225.0,,B,,s,21288
LOTW-3415920-509,1,0.0,90.0,,,Frost - no sample collected,21289
LOTW-3415920-509,2,90.0,150.0,H5,M,Hemic,21290
LOTW-3415920-509,3,150.0,210.0,H5,RS,Hemic,21291
LOTW-3415920-509,4,210.0,240.0,H7,,Sapric,21292
LOTW-3415920-509,5,240.0,,B,,s,21293
LOTW-3416007-802,1,0.0,330.0,H6,,Hemic,21294
LOTW-3416007-802,2,330.0,,B,,vfs,21295
LOTW-3416016-467,1,0.0,60.0,H3,RS,Fibric,21296
LOTW-3416016-467,2,60.0,120.0,H4,RS,Hemic,21297
LOTW-3416016-467,3,120.0,225.0,H5,RS,Hemic,21298
LOTW-3416016-467,4,225.0,,B,,Min.soil,21299
LOTW-3416017-801,1,0.0,135.0,H5,RS,Hemic,21300
LOTW-3416017-801,2,135.0,,B,,ms,21301
LOTW-3416018-468,1,0.0,90.0,H4,RS,Hemic,21302
LOTW-3416018-468,2,90.0,150.0,H5,RS,Hemic,21303
LOTW-3416018-468,3,150.0,,B,,fs,21304
LOTW-3416024-551,1,0.0,10.0,H7,,Sapric,21305
LOTW-3416024-551,2,10.0,,B,,s,21306
LOTW-3416025-552,1,0.0,,B,,ms-fs,21307
LOTW-3416030-514,1,0.0,30.0,H5,RS,Hemic,21308
LOTW-3416030-514,2,30.0,90.0,H6,RS,Hemic,21309
LOTW-3416030-514,3,90.0,,B,,Min.soil,21310
LOTW-3416036-553,1,0.0,10.0,H6,,Hemic,21311
LOTW-3416036-553,2,10.0,,B,,sc,21312
LOTW-3416107-670,1,0.0,5.0,H5,,Hemic,21313
LOTW-3416107-670,2,5.0,,B,,ms,21314
LOTW-3416107-671,1,0.0,45.0,H5,,Hemic,21315
LOTW-3416107-671,2,45.0,,B,,ms,21316
LOTW-3416107-672,1,0.0,,B,,s,21317
LOTW-3416107-673,1,0.0,,B,,s,21318
LOTW-3416108-674,1,0.0,68.0,H5,,Hemic,21319
LOTW-3416108-674,2,68.0,,B,,ms,21320
LOTW-3416108-675,1,0.0,60.0,H6,,Hemic,21321
LOTW-3416108-675,2,60.0,,B,,ms,21322
LOTW-3416108-676,1,0.0,68.0,H6,,Hemic,21323
LOTW-3416108-676,2,68.0,,B,,ms,21324
LOTW-3416115-686,1,0.0,,B,,s,21325
LOTW-3416115-698,1,0.0,68.0,H8,,Sapric,21326
LOTW-3416115-698,2,68.0,,B,,fs,21327
LOTW-3416116-680,1,0.0,30.0,H7,,Sapric,21328
LOTW-3416116-680,2,30.0,,B,,s,21329
LOTW-3416116-681,1,0.0,60.0,H6,,Hemic,21330
LOTW-3416116-681,2,60.0,,B,,cos,21331
LOTW-3416116-682,1,0.0,80.0,H5/H6,,Hemic,21332
LOTW-3416116-682,2,80.0,,B,,fs,21333
LOTW-3416116-683,1,0.0,8.0,H6,,Hemic,21334
LOTW-3416116-683,2,8.0,,B,,ms,21335
LOTW-3416116-684,1,0.0,40.0,H7,,Sapric,21336
LOTW-3416116-684,2,40.0,,B,,s,21337
LOTW-3416116-685,1,0.0,,B,,s,21338
LOTW-3416117-677,1,0.0,,B,,s,21339
LOTW-3416117-678,1,0.0,15.0,H6,,Hemic,21340
LOTW-3416117-678,2,15.0,,B,,ms,21341
LOTW-3416117-679,1,0.0,,B,,ms,21342
LOTW-3416122-687,1,0.0,15.0,H7,,Sapric,21343
LOTW-3416122-687,2,15.0,,B,,Min.soil,21344
LOTW-3416122-688,1,0.0,15.0,H7,,Sapric,21345
LOTW-3416122-688,2,15.0,,B,,ls,21346
LOTW-3416122-689,1,0.0,,B,,s,21347
LOTW-3416122-690,1,0.0,60.0,H7,,Hemic,21348
LOTW-3416122-690,2,60.0,,B,,s,21349
LOTW-3416122-691,1,0.0,,B,,s,21350
LOTW-3416123-554,1,0.0,,B,,s w/ pebbles,21351
LOTW-3416123-555,1,0.0,,B,,s,21352
LOTW-3416123-556,1,0.0,,B,,s,21353
LOTW-3416123-557,1,0.0,,B,,s,21354
LOTW-3416123-558,1,0.0,,B,,s,21355
LOTW-3416125-549,1,0.0,20.0,H7,,Sapric,21356
LOTW-3416125-549,2,20.0,,B,,fs,21357
LOTW-3416133-745,1,0.0,10.0,B,,Min.soil w/high organic matter,21358
LOTW-3416133-745,2,10.0,,,,fs,21359
LOTW-3416133-746,1,0.0,10.0,B,,Min.soil w/high organic matter,21360
LOTW-3416133-746,2,10.0,,,,fs,21361
LOTW-3416133-747,1,0.0,30.0,B,,sl,21362
LOTW-3416133-747,2,30.0,,,,fs,21363
LOTW-3416133-748,1,0.0,,B,,fs,21364
LOTW-3416136-550,1,0.0,50.0,H7,,Sapric,21365
LOTW-3416136-550,2,50.0,,B,,fs,21366
LOTW-3416202-720,1,0.0,15.0,H6,,Hemic,21367
LOTW-3416202-720,2,15.0,,B,,fs,21368
LOTW-3416203-465,1,0.0,60.0,H4,RS,Hemic,21369
LOTW-3416203-465,2,60.0,90.0,H6,,Hemic,21370
LOTW-3416203-465,3,90.0,,B,,sl,21371
LOTW-3416203-704,1,0.0,30.0,H6,,Hemic,21372
LOTW-3416203-704,2,30.0,,B,,fs,21373
LOTW-3416203-705,1,0.0,30.0,H6,,Hemic,21374
LOTW-3416203-705,2,30.0,,B,,fs,21375
LOTW-3416203-706,1,0.0,,B,,fs,21376
LOTW-3416204-703,1,0.0,91.0,H6,,Hemic,21377
LOTW-3416204-703,2,91.0,,B,,fs,21378
LOTW-3416215-693,1,0.0,,B,,fs,21379
LOTW-3416215-694,1,0.0,,B,,s,21380
LOTW-3416219-695,1,0.0,91.0,H7,,Sapric,21381
LOTW-3416219-695,2,91.0,,B,,s,21382
LOTW-3416222-692,1,0.0,,B,,fs,21383
LOTW-3416223-634,1,0.0,30.0,H6,,Hemic,21384
LOTW-3416223-634,2,30.0,,B,,cl,21385
LOTW-3416223-635,1,0.0,15.0,H7,,Sapric,21386
LOTW-3416223-635,2,15.0,,B,,fs,21387
LOTW-3416225-640,1,0.0,56.0,H5,,Hemic,21388
LOTW-3416225-640,2,56.0,,B,,si,21389
LOTW-3416225-641,1,0.0,,B,,Min.soil,21390
LOTW-3416225-642,1,0.0,81.0,H5,,Hemic,21391
LOTW-3416225-642,2,81.0,,B,,sic,21392
LOTW-3416225-643,1,0.0,96.0,H5,,Hemic,21393
LOTW-3416225-643,2,96.0,,B,,sic,21394
LOTW-3416225-644,1,0.0,71.0,H5,,Hemic,21395
LOTW-3416225-644,2,71.0,,B,,Min.soil,21396
LOTW-3416225-645,1,0.0,56.0,H5,,Hemic,21397
LOTW-3416225-645,2,56.0,,B,,Min.soil,21398
LOTW-3416225-646,1,0.0,63.0,H5,,Hemic,21399
LOTW-3416225-646,2,63.0,,B,,c,21400
LOTW-3416225-647,1,0.0,63.0,H5,,Hemic,21401
LOTW-3416225-647,2,63.0,,B,,c,21402
LOTW-3416225-648,1,0.0,58.0,H5,,Hemic,21403
LOTW-3416225-648,2,58.0,,B,,sic,21404
LOTW-3416225-649,1,0.0,79.0,H5,,Hemic,21405
LOTW-3416225-649,2,79.0,,B,,Min.soil,21406
LOTW-3416225-650,1,0.0,91.0,H5,,Hemic,21407
LOTW-3416225-650,2,91.0,,B,,c,21408
LOTW-3416225-651,1,0.0,63.0,H5,,Hemic,21409
LOTW-3416225-651,2,63.0,,B,,sl,21410
LOTW-3416225-652,1,0.0,68.0,H6,,Hemic,21411
LOTW-3416225-652,2,68.0,,B,,sic,21412
LOTW-3416225-653,1,0.0,5.0,,,Peat,21413
LOTW-3416225-653,2,5.0,,B,,Min.soil,21414
LOTW-3416226-466,1,0.0,90.0,H4,M,Hemic,21415
LOTW-3416226-466,2,90.0,150.0,H5,RS,Hemic,21416
LOTW-3416226-466,3,150.0,180.0,H6,RS,Hemic,21417
LOTW-3416226-466,4,180.0,,B,,si,21418
LOTW-3416232-697,1,0.0,,B,,Min.soil,21419
LOTW-3416303-702,1,0.0,46.0,H7,,Sapric,21420
LOTW-3416303-702,2,46.0,,B,,si,21421
LOTW-3416309-701,1,0.0,30.0,H7,,Sapric,21422
LOTW-3416309-701,2,30.0,,B,,fs,21423
LOTW-3416318-700,1,0.0,15.0,H7,,Sapric,21424
LOTW-3416318-700,2,15.0,,B,,fs,21425
LOTW-3416319-699,1,0.0,15.0,H6,,Hemic,21426
LOTW-3416319-699,2,15.0,,B,,s,21427
LOTW-3416323-709,1,0.0,15.0,H7,,Sapric,21428
LOTW-3416323-709,2,15.0,,B,,sic,21429
LOTW-3416323-710,1,0.0,230.0,H5,,Hemic,21430
LOTW-3416323-710,2,230.0,,B,,si & s,21431
LOTW-3416323-711,1,0.0,90.0,H4,M,Hemic,21432
LOTW-3416323-711,2,90.0,233.0,H5,,Hemic,21433
LOTW-3416323-711,3,233.0,270.0,H8,,Sapric,21434
LOTW-3416323-711,4,270.0,,B,,sic,21435
LOTW-3416325-713,1,0.0,310.0,H5,,Hemic,21436
LOTW-3416325-713,2,310.0,,B,,sic,21437
LOTW-3416325-714,1,0.0,75.0,H4,M,Hemic,21438
LOTW-3416325-714,2,75.0,263.0,H5,,Hemic,21439
LOTW-3416325-714,3,263.0,,B,,sic,21440
LOTW-3416325-715,1,0.0,230.0,H5,,Hemic,21441
LOTW-3416325-715,2,230.0,,B,,sic,21442
LOTW-3416326-712,1,0.0,75.0,H3,M,Fibric,21443
LOTW-3416326-712,2,75.0,250.0,H5,,Hemic,21444
LOTW-3416326-712,3,250.0,390.0,H7,,Sapric,21445
LOTW-3416326-712,4,390.0,,B,,c,21446
LOTW-3416326-716,1,0.0,150.0,H7,,Sapric,21447
LOTW-3416326-716,2,150.0,,B,,fs,21448
LOTW-3416326-717,1,0.0,300.0,H4-H6,,Hemic,21449
LOTW-3416326-717,2,300.0,,B,,sic w/pebbles,21450
LOTW-3416326-718,1,0.0,210.0,H5-H7,,Hemic/Sapric,21451
LOTW-3416326-718,2,210.0,,B,,s,21452
LOTW-3416326-719,1,0.0,80.0,H5,,Hemic,21453
LOTW-3416326-719,2,80.0,,B,,sil w/pebbles,21454
LOTW-3416327-707,1,0.0,80.0,H7,,Sapric,21455
LOTW-3416327-707,2,80.0,,B,,cos,21456
LOTW-3416335-721,1,0.0,,B,,fs,21457
LOTW-3416435-708,1,0.0,8.0,H6,,Hemic,21458
LOTW-3416435-708,2,8.0,,B,,s,21459
LOTW-3515703-771,1,0.0,150.0,H5,,Hemic,21460
LOTW-3515703-771,2,150.0,,B,,l,21461
LOTW-3515705-440,1,0.0,90.0,H4,RS,Hemic,21462
LOTW-3515705-440,2,90.0,,B,,sl,21463
LOTW-3515709-441,1,0.0,120.0,,,Peat - no samples collected,21464
LOTW-3515709-441,2,120.0,,B,,cl,21465
LOTW-3515712-449,1,0.0,135.0,H5,RS,Hemic,21466
LOTW-3515712-449,2,135.0,,B,,cl,21467
LOTW-3515714-770,1,0.0,120.0,,,"Peat - frost, no samples collected",21468
LOTW-3515714-770,2,120.0,,B,,Min.soil,21469
LOTW-3515722-446,1,0.0,135.0,H4,RS,Hemic,21470
