DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
STLO-2005617-A-100-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-100-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-100-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-100-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-1010-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 40% cover.,,,
STLO-2005617-A-1030-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1030-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1050-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-1050-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-1050-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp.,,,
STLO-2005617-A-1058-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 30% cover.,,,
STLO-2005617-A-1080-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1080-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1100-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-1100-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-1100-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp.,,,
STLO-2005617-A-1106-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 50% cover.,,,
STLO-2005617-A-1130-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1130-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1150-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-1150-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 60% cover.,,,
STLO-2005617-A-1154-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 40% cover.,,,1316.08 ft
STLO-2005617-A-1180-1200,Riley,Riley Peatland Detailed Survey,,,,,,1318.88 ft
STLO-2005617-A-1180-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1200-1000,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 40% cover.,,,1318.67 ft
STLO-2005617-A-1200-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 60% cover.,,,1319.37 ft
STLO-2005617-A-1203-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,
STLO-2005617-A-1230-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1230-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1250-1000,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 40% cover.,,,
STLO-2005617-A-1250-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp.,,,
STLO-2005617-A-1251-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 50% cover.,,,
STLO-2005617-A-1280-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1280-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1299-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 50% cover.,,,
STLO-2005617-A-1300-1000,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 40% cover.,,,
STLO-2005617-A-1300-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp.,,,1319.01 ft
STLO-2005617-A-130-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1330-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1330-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1340-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 60% cover.,,,
STLO-2005617-A-1347-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 60% cover.,,,1316.12 ft
STLO-2005617-A-1350-1000,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 40% cover.,,,
STLO-2005617-A-1375-800,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 60% cover.,,,
STLO-2005617-A-1380-1200,Riley,Riley Peatland Detailed Survey,,,,,,1319.26 ft
STLO-2005617-A-1380-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1395-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 60% cover.,,,
STLO-2005617-A-1400-1000,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 40% cover.,,,1318.37 ft
STLO-2005617-A-1430-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1430-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1443-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,
STLO-2005617-A-1480-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1480-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1491-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 60% cover.,,,
STLO-2005617-A-150+-0,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-150-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-150-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-150-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-150-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-150-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-1530-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1530-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1539-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 60% cover.,,,1316.16 ft
STLO-2005617-A-1580-1200,Riley,Riley Peatland Detailed Survey,,,,,,1318.93 ft
STLO-2005617-A-1580-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-1587-1600,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-180-1200,Riley,Riley Peatland Detailed Survey,,,,,,1318.23 ft
STLO-2005617-A-192-1600,Riley,Riley Peatland Detailed Survey,,,,,,1315.45 ft
STLO-2005617-A-200+-0,Riley,Riley Peatland Detailed Survey,,,,,,1317.54 ft
STLO-2005617-A-200-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,1318.09 ft
STLO-2005617-A-200-200,Riley,Riley Peatland Detailed Survey,,,,,,1319.22 ft
STLO-2005617-A-200-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,1318.85 ft
STLO-2005617-A-200-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.64 ft
STLO-2005617-A-200-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.59 ft
STLO-2005617-A-230-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-250+-0,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-250-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-250-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-250-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-250-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-250-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-280-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-300+-0,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-300-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-300-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-300-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-300-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-300-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-330-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-350+-0,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-350-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-350-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-350-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-350-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-350-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-380-1200,Riley,Riley Peatland Detailed Survey,,,,,,1318.13 ft
STLO-2005617-A-380-1400,Riley,Riley Peatland Detailed Survey,,,,,,1316.20 ft
STLO-2005617-A-385-1600,Riley,Riley Peatland Detailed Survey,,,,,,1316.38 ft
STLO-2005617-A-400+-0,Riley,Riley Peatland Detailed Survey,,,,,,1317.90 ft
STLO-2005617-A-400-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,1317.87 ft
STLO-2005617-A-400-200,Riley,Riley Peatland Detailed Survey,,,,,,1319.13 ft
STLO-2005617-A-400-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,1318.91 ft
STLO-2005617-A-400-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.60 ft
STLO-2005617-A-400-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.62 ft
STLO-2005617-A-430-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-430-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-450+-0,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-450-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-450-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-450-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-450-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-450-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-480-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-480-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-481-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-50+-0,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-500+-0,Riley,Riley Peatland Detailed Survey,,,,,,1317.88 ft
STLO-2005617-A-500-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-500-200,Riley,Riley Peatland Detailed Survey,,,Tamarack forest.,,,
STLO-2005617-A-500-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,
STLO-2005617-A-500-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-500-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-50-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 25% cover.,,,
STLO-2005617-A-50-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-50-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-50-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-50-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-525-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005617-A-529-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-530-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-530-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-550-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-550-200,Riley,Riley Peatland Detailed Survey,,,Tamarack forest.,,,
STLO-2005617-A-550-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,
STLO-2005617-A-550-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-550-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-577-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,1315.95 ft
STLO-2005617-A-580-1200,Riley,Riley Peatland Detailed Survey,,,,,,1318.76 ft
STLO-2005617-A-580-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-600-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,1318.47 ft
STLO-2005617-A-600-200,Riley,Riley Peatland Detailed Survey,,,Tamarack forest.,,,1319.36 ft
STLO-2005617-A-600-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,1319.36 ft
STLO-2005617-A-600-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.95 ft
STLO-2005617-A-600-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.90 ft
STLO-2005617-A-625-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-630-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-630-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-650-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-650-200,Riley,Riley Peatland Detailed Survey,,,Tamarack forest.,,,
STLO-2005617-A-650-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,
STLO-2005617-A-650-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-650-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-673-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-675-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-680-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-680-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-700-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-700-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-700-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-700-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-700-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-721-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack forest with 40% cover.,,,
STLO-2005617-A-730-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-730-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-750-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-750-200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-750-400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005617-A-750-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-750-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-770-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 40% cover.,,,1315.98 ft
STLO-2005617-A-780-1200,Riley,Riley Peatland Detailed Survey,,,,,,1318.83 ft
STLO-2005617-A-780-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-800-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,1318.42 ft
STLO-2005617-A-800-200,Riley,Riley Peatland Detailed Survey,,,,,,1319.43 ft
STLO-2005617-A-800-400,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,1319.13 ft
STLO-2005617-A-800-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.95 ft
STLO-2005617-A-800-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,1318.88 ft
STLO-2005617-A-818-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 30% cover.,,,
STLO-2005617-A-830-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-830-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-850-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-850-400,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005617-A-850-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-850-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-866-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 40% cover.,,,
STLO-2005617-A-880-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-880-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-900-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-900-400,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005617-A-900-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-900-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-914-1600,Riley,Riley Peatland Detailed Survey,,,Tamarack with 40% cover.,,,
STLO-2005617-A-930-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-930-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-A-950-1000,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005617-A-950-600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-950-800,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack.,,,
STLO-2005617-A-962-1600,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,1316.07 ft
STLO-2005617-A-980-1200,Riley,Riley Peatland Detailed Survey,,,,,,1319.03 ft
STLO-2005617-A-980-1400,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005617-R1,Riley,Riley Peatland Preliminary Survey,,Treed fen,At all sites understory was not described completely because of the deep snowcover.  Tamarack with 30% cover; scattered black spruce. Understory includes some shrubs (bog birch).,,,
STLO-2005617-R10,Riley,Riley Peatland Preliminary Survey,,Treed fen,,,,
STLO-2005617-R11,Riley,Riley Peatland Preliminary Survey,,Forested swamp,Stunted tamarack with 35% cover; sparse northern white cedar. Understory with some speckled alder.,,,
STLO-2005617-R12,Riley,Riley Peatland Preliminary Survey,,Forested swamp,,,,
STLO-2005617-R13,Riley,Riley Peatland Preliminary Survey,,Treed fen,Stunted tamarack with 40% cover.,,,
STLO-2005617-R14,Riley,Riley Peatland Preliminary Survey,,Treed fen,,,At surface,
STLO-2005617-R15,Riley,Riley Peatland Preliminary Survey,,Treed fen,Stunted tamarack with 40% cover; sparse black spruce.  Understory includes some shrubs (bog birch).,,At surface,
STLO-2005617-R2,Riley,Riley Peatland Preliminary Survey,,Treed fen - tamarack swamp,Tamarack forest with 50% cover; sparse black spruce.  Understory includes some shrubs (bog birch).,,,
STLO-2005617-R21,Riley,Riley Peatland Preliminary Survey,,Treed fen,Stunted tamarack w/ 35% cover; sparse black spruce.  Understory includes some shrubs (bog birch).,,,
STLO-2005617-R3,Riley,Riley Peatland Preliminary Survey,,Cedar swamp,,,At surface,
STLO-2005617-R7,Riley,Riley Peatland Preliminary Survey,,Treed fen,,,,
STLO-2005617-R8,Riley,Riley Peatland Preliminary Survey,,Treed fen,,,,
STLO-2005617-R9,Riley,Riley Peatland Preliminary Survey,,Treed fen,Stunted tamarack w/ 30% cover; sparse black spruce.,,,
STLO-2005618-A-1630-1200,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005618-A-1635-1600,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005618-A-1660-1600,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005619-421,Riley,,,Disturbed (cutover),Cut over area. Black spruce with 60% cover.,30cm,10cm,
STLO-2005619-A-1644-2180,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005619-A-1660-1660,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005619-A-1660-1780,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,1316.42 ft
STLO-2005619-A-1660-1980,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,1316.12 ft
STLO-2005619-A-1660-2180,Riley,Riley Peatland Detailed Survey,,,,,,1315.96 ft
STLO-2005619-A-1660-2400,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,
STLO-2005619-A-1660-2550,Riley,Riley Peatland Detailed Survey,,,Tamarack with 60% cover.,,,1313.72 ft
STLO-2005619-A-1660-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 40% cover, tamarack with 10% cover.",,,
STLO-2005619-A-1660-2860,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 40% cover, tamarack with 5% cover.",,,1313.03 ft
STLO-2005619-A-1705-2180,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005619-A-1705-2400,Riley,Riley Peatland Detailed Survey,,,Tamarack with 50% cover.,,,
STLO-2005619-A-1708-2857,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 45% cover, tamarack with 5% cover.",,,1313.13 ft
STLO-2005619-A-1710-1780,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005619-A-1710-1980,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover.,,,
STLO-2005619-A-1710-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 40% cover, tamarack with 10% cover.",,,
STLO-2005619-A-1750-2180,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005619-A-1750-2400,Riley,Riley Peatland Detailed Survey,,,Tamarack with 50% cover.,,,
STLO-2005619-A-1760-1780,Riley,Riley Peatland Detailed Survey,,,Tamarack with 40% cover.,,,
STLO-2005619-A-1760-1980,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005619-A-1760-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 40% cover, tamarack with 10% cover.",,,
STLO-2005619-A-1795-2180,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005619-A-1795-2400,Riley,Riley Peatland Detailed Survey,,,Black spruce and tamarack with 70% cover.,,,
STLO-2005619-A-1810-1780,Riley,Riley Peatland Detailed Survey,,,Tamarack with 45% cover and black spruce with 5% cover.,,,1316.26 ft
STLO-2005619-A-1810-1980,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 35% cover.,,,
STLO-2005619-A-1810-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 35% cover, tamarack with 10% cover.",,,
STLO-2005619-A-1840-2180,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 50% cover.,,,1315.61 ft
STLO-2005619-A-1860-1780,Riley,Riley Peatland Detailed Survey,,,Tamarack with 35% cover and black spruce with 15% cover.,,,
STLO-2005619-A-1860-1980,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 40% cover.,,,
STLO-2005619-A-1860-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 35% cover, tamarack with 10% cover.",,,
STLO-2005619-A-1885-2180,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 70% cover.,,,
STLO-2005619-A-1910-1980,Riley,Riley Peatland Detailed Survey,,,Forested black spruce swamp with 50% cover.,,,
STLO-2005619-A-1910-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 40% cover, tamarack with 10% cover.",,,
STLO-2005619-A-1930-2180,Riley,Riley Peatland Detailed Survey,,,Black spruce and tamarack with 30% cover each.,,,
STLO-2005619-A-1960-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack and black spruce swamp with 50% cover.,,,
STLO-2005619-A-1960-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 30% cover, sparse stunted tamarack.",,,
STLO-2005619-A-1980-2180,Riley,Riley Peatland Detailed Survey,,,Stunted tamarack with 30% cover; scattered black spruce with 15% cover.,,,
STLO-2005619-A-2010-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack and black spruce swamp with 50% cover.,,,
STLO-2005619-A-2010-2800,Riley,Riley Peatland Detailed Survey,,,"Black spruce with 30% cover, sparse stunted tamarack.",,,
STLO-2005619-A-2030-2180,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 50% cover.,,,1315.36 ft
STLO-2005619-A-2060-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005619-A-2080-2180,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 50% cover.,,,
STLO-2005619-A-2110-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005619-A-2130-2180,Riley,Riley Peatland Detailed Survey,,,Forested swamp with 40% cover.,,,
STLO-2005619-A-2160-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005619-A-2180-2180,Riley,Riley Peatland Detailed Survey,,,,,,
STLO-2005619-A-2210-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005619-A-2230-2180,Riley,Riley Peatland Detailed Survey,,,Cut over--fire trail.,,,1315.21 ft
STLO-2005619-A-2260-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005619-A-2280-2180,Riley,Riley Peatland Detailed Survey,,,Cut over--fire trail.,,,
STLO-2005619-A-2310-1980,Riley,Riley Peatland Detailed Survey,,,Forested tamarack swamp with 50% cover.,,,
STLO-2005619-A-2330-2180,Riley,Riley Peatland Detailed Survey,,,Cut over.,,,
STLO-2005619-A-2380-2180,Riley,Riley Peatland Detailed Survey,,,Cut over.,,,
STLO-2005619-A-2430-2180,Riley,Riley Peatland Detailed Survey,,,Cut over.,,,
