DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
AITK-2205202-259,Wawina,,,,Sparse black spruce.  Understory includes many sedges and bog forbs.  Continuous sphagnum carpet.,20cm,At surface,
AITK-2205202-260,Wawina,,,"Open bog - disturbed, near ditch",Sparse black spruce and tamarack.  Understory includes many shrubs (bog birch); some ericaceous shrubs (leatherleaf*). Continuous sphagnum carpet.,25cm,At surface,
AITK-2205202-261,Wawina,,,"Open bog - disturbed, near ditch",Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*) and other shrubs (bog birch). Discontinuous sphagnum carpet.,20cm,15cm,
AITK-2205202-262,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 50% cover.  Understory dominated by ericaceous shrubs (Labrador tea*); some cotton grass.  Continuous sphagnum carpet.,30cm,20cm,
AITK-2205202-263,Wawina,,Crested raised bog,Open bog,"Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (Labrador tea, leatherleaf); few cotton grass.  Continuous sphagnum carpet.",35cm,5cm,
AITK-2205202-264,Wawina,,Edge of crested raised bog,"Forested bog - disturbed, near ditch","Black spruce forest with 50% cover; sparse tamarack.  Understory includes many ericaceous shrubs (leatherleaf*) and other shrubs (speckled alder, bog birch); few cotton grass.  Discontinuous sphagnum carpet.",26cm,At surface,
AITK-2205202-265,Wawina,,Edge of crested raised bog,Bog,Scattered tamarack.  Understory includes few cotton grass and forbs.  Discontinuous sphagnum carpet.,22cm,At surface,
AITK-2205202-266,Wawina,,Crested raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs); few cotton grass.  Continuous sphagnum carpet.,24cm,At surface,
AITK-2205202-267,Wawina,,Crested raised bog,Forested bog,Scattered black spruce.  Understory includes many ericaceous shrubs (Labrador tea*); few cotton grass.  Continuous sphagnum carpet.,48cm,At surface,
AITK-2205203-2,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 60% cover; sparse tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); some cotton grass; few wooded bog forbs.  Continuous sphagnum carpet.,20cm,At surface,
AITK-2205203-562,Wawina,,Crested raised bog,Forested bog,Black spruce forest with 60% cover.  Understory includes some ericaceous shrubs.  Discontinuous sphagnum and feathermoss carpet.,30cm,20cm,
AITK-2205203-563,Wawina,,Crested raised bog,Bog,Scattered black spruce.  Understory dominated by ericaceous shrubs (leatherleaf*); some sedges (Carex pauciflora).  Continuous sphagnum carpet.,40cm,20cm,
AITK-2205203-564,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 60% cover.  Understory includes many ericaceous shrubs (Labrador tea*); some sedges (Carex paucilfora). Continuous sphagnum carpet.,40cm,20cm,
AITK-2205203-565,Wawina,,Crested raised bog,Bog,Stunted black spruce with 35% cover.  Understory includes some ericaceous shrubs (Labrador tea*) and sedges (Carex pauciflora). Continuous sphagnum carpet.,40cm,At surface,
AITK-2205204-250,Wawina,,Edge of crested raised bog,Forested bog,Stunted black spruce with 45% cover; sparse tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*); few sedges and cotton grass.  Continuous sphagnum carpet.,45cm,At surface,
AITK-2205204-251,Wawina,,,Forested bog,Black spruce forest with 80% cover.  Understory dominated by ericaceous shrubs (Labrador tea*); few cotton grass.  Continuous sphagnum carpet.,10cm,At surface,
AITK-2205204-3,Wawina,,,Forested bog,Stunted black spruce with 30% cover; scattered tamarack.  Understory includes many cotton grass and ericaceous shrubs (leatherleaf*). Discontinuous sphagnum carpet.,40cm,At surface,
AITK-2205204-560,Wawina,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many cotton grass; some ericaceous shrubs (leatherleaf*); few sedges (Carex oligosperma).  Continuous sphagnum carpet.,20cm,At surface,
AITK-2205204-561,Wawina,,,Disturbed - near pipeline,"Stunted black spruce with 40% cover.  Understory dominated by forbs (cattails*); many grasses; few ericaceous shrubs, other shrubs (bog birch), and sedges (Carex sp.).  Discontinuous sphagnum carpet.",15cm,At surface,
AITK-2205205-4,Wawina,,,Shrub swamp,Cover dominated by grasses and shrubs (speckled alder).,10cm,At surface,
AITK-2205209-252,Wawina,,,Disturbed - near ditch,"Sparse black spruce and tamarack.  Understory dominated by shrubs (bog birch*, willow); some cotton grass; few ericaceous shrubs. Discontinuous sphagnum carpet.",10cm,At surface,
AITK-2205209-253,Wawina,,,Disturbed - near ditch,Sparse tamarack and black spruce.  Understory dominated by shrubs (bog birch); some cotton grass; few forbs.  Continuous sphagnum carpet.,25cm,At surface,
AITK-2205210-1,Wawina,,,"Forested Transition - disturbed,cut over",Clear - cut area. Surrounding area w/ black spruce and tamarack forest.,30cm,At surface in hollow,
AITK-2205210-254,Wawina,,,Disturbed - near road,Stunted tamarack with 50% cover.  Understory includes many ericaceous shrubs (leatherleaf) and other shrubs (bog birch); few forbs.  Few feathermosses.,10cm,10cm,
AITK-2205210-255,Wawina,,,Disturbed - near road,"Paper birch with 45% cover; sparse black spruce and aspen.  Understory dominated by grasses; few shrubs (bog birch, dogwood, willow), ericaceous shrubs, and forbs.",10cm,At surface,
AITK-2205211-209,Wawina,,Crested raised bog,Open bog,Sparse black spruce.  Understory includes some ericaceous shrubs (leatherleaf*) and sedges.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205212-208,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 30% cover.  Understory includes many ericaceous shrubs.  Continuous moss carpet.,25cm,At surface,
AITK-2205213-206,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 30% cover.  Understory includes some ericaceous shrubs (leatherleaf*); few sedges.  Continuous sphagnum carpet.,45cm,At surface,
AITK-2205213-207,Wawina,,,Disturbed - near pipeline,"Sparse black spruce.  Understory dominated by sedges; few ericaceous shrubs, other shrubs (willow), and cotton grass.  Discontinuous sphagnum carpet.",20cm,At surface,
AITK-2205214-200,Wawina,,Raised bog,Disturbed - near ditch,Sparse black spruce and tamarack.  Understory dominated by sedges; many ericaceous shrubs (leatherleaf*); few other shrubs (bog birch). Continuous sphagnum carpet.,15cm,At surface,
AITK-2205214-201,Wawina,,Edge of crested raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes some ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,15cm,8cm above surface,
AITK-2205214-204,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 60% cover.  Understory includes some ericaceous shrubs (Labrador tea*); few sedges and cotton grass. Continuous sphagnum carpet.,15cm,At surface,
AITK-2205214-205,Wawina,,Raised bog,Disturbed - near trail,Sparse black spruce and tamarack.  Understory dominated by sedges; some ericaceous shrubs(leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205216-5,Wawina,,,Bog,Scattered tamarack; sparse black spruce.  Understory dominated by cotton grass; some ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205216-6,Wawina,,,Open fen,Cover dominated by sedges.,,Above surface,
